Navn,Sted,Org.nr,Bransje,Ansatte,Google-søk,E-post,Telefon,Nettside,Potensial
NORSK VVS-MERKING AS,SANDEFJORD,976551826,VVS/Rørlegger,10,https://www.google.com/search?q=NORSK+VVS-MERKING+AS+SANDEFJORD+epost,,,,Middels
OL TO VVS AS,VENNESLA,983232108,VVS/Rørlegger,36,https://www.google.com/search?q=OL+TO+VVS+AS+VENNESLA+epost,,,,Middels
OPPDAL VVS A/S,OPPDAL,947452517,VVS/Rørlegger,12,https://www.google.com/search?q=OPPDAL+VVS+A/S+OPPDAL+epost,,,,Middels
OSLO VVS SENTER AS,OSLO,974698250,VVS/Rørlegger,20,https://www.google.com/search?q=OSLO+VVS+SENTER+AS+OSLO+epost,,,,Middels
OSLO VVS SERVICE AS,OSLO,957810950,VVS/Rørlegger,43,https://www.google.com/search?q=OSLO+VVS+SERVICE+AS+OSLO+epost,,,,Middels
RJUKAN VVS & ELEKTRO AS,RJUKAN,982142601,VVS/Rørlegger,28,https://www.google.com/search?q=RJUKAN+VVS+&+ELEKTRO+AS+RJUKAN+epost,,,,Middels
RØRLEGGERFIRMA VVS-PROFFEN AS,NARVIK,981580915,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGERFIRMA+VVS-PROFFEN+AS+NARVIK+epost,,,,Middels
S & S VVS AS,LODDEFJORD,920598137,VVS/Rørlegger,12,https://www.google.com/search?q=S+&+S+VVS+AS+LODDEFJORD+epost,,,,Middels
TM VVS ENTREPRENØR AS,DRAMMEN,922948925,VVS/Rørlegger,10,https://www.google.com/search?q=TM+VVS+ENTREPRENØR+AS+DRAMMEN+epost,,,,Middels
VVS EKSPERTEN ASKØY AS,FLORVÅG,924779497,VVS/Rørlegger,10,https://www.google.com/search?q=VVS+EKSPERTEN+ASKØY+AS+FLORVÅG+epost,,,,Middels
VVS RØRLEGGER'N TØNSBERG AS,SEM,931493779,VVS/Rørlegger,11,https://www.google.com/search?q=VVS+RØRLEGGER'N+TØNSBERG+AS+SEM+epost,,,,Middels
EMV BYGG OG VVS AS,TORP,921105347,VVS/Rørlegger,12,https://www.google.com/search?q=EMV+BYGG+OG+VVS+AS+TORP+epost,,,,Middels
HAGEN VVS OG KLIMA AS,BRUMUNDDAL,934548221,VVS/Rørlegger,15,https://www.google.com/search?q=HAGEN+VVS+OG+KLIMA+AS+BRUMUNDDAL+epost,,,,Middels
HAUG OG RUUD VVS AS,LILLEHAMMER,914737613,VVS/Rørlegger,41,https://www.google.com/search?q=HAUG+OG+RUUD+VVS+AS+LILLEHAMMER+epost,,,,Middels
ALFA OLIS GASS & VVS AS,OSLO,885415962,VVS/Rørlegger,22,https://www.google.com/search?q=ALFA+OLIS+GASS+&+VVS+AS+OSLO+epost,,,,Middels
BODØ VVS J WILLUMSEN AS,BODØ,933629015,VVS/Rørlegger,13,https://www.google.com/search?q=BODØ+VVS+J+WILLUMSEN+AS+BODØ+epost,,,,Middels
LINDÅS VVS NILS TRÆLAND AS,LINDÅS,915836445,VVS/Rørlegger,11,https://www.google.com/search?q=LINDÅS+VVS+NILS+TRÆLAND+AS+LINDÅS+epost,,,,Middels
AS RØRLEGGER,OSLO,815589602,VVS/Rørlegger,13,https://www.google.com/search?q=AS+RØRLEGGER+OSLO+epost,,,,Middels
AS RØRLEGGER,TILLER,939353224,VVS/Rørlegger,17,https://www.google.com/search?q=AS+RØRLEGGER+TILLER+epost,,,,Middels
RØRLEGGER 1 AS,TILLER,984072368,VVS/Rørlegger,17,https://www.google.com/search?q=RØRLEGGER+1+AS+TILLER+epost,,,,Middels
RØRLEGGER BERNTSEN AS,HAMMERFEST,960515978,VVS/Rørlegger,15,https://www.google.com/search?q=RØRLEGGER+BERNTSEN+AS+HAMMERFEST+epost,,,,Middels
RØRLEGGER BRAGER AS,SKAMMESTEIN,885158102,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGER+BRAGER+AS+SKAMMESTEIN+epost,,,,Middels
RØRLEGGER FRIGSTAD AS,KRISTIANSAND S,913026365,VVS/Rørlegger,11,https://www.google.com/search?q=RØRLEGGER+FRIGSTAD+AS+KRISTIANSAND S+epost,,,,Middels
RØRLEGGER HARALDSEID AS,SKJOLD,918816283,VVS/Rørlegger,14,https://www.google.com/search?q=RØRLEGGER+HARALDSEID+AS+SKJOLD+epost,,,,Middels
RØRLEGGER LIENE AS,FEVIK,929432479,VVS/Rørlegger,18,https://www.google.com/search?q=RØRLEGGER+LIENE+AS+FEVIK+epost,,,,Middels
RØRLEGGER SENTRALEN AS,OSLO,998942683,VVS/Rørlegger,20,https://www.google.com/search?q=RØRLEGGER+SENTRALEN+AS+OSLO+epost,,,,Middels
RØRLEGGER SUNDE AS,HAFRSFJORD,978662617,VVS/Rørlegger,30,https://www.google.com/search?q=RØRLEGGER+SUNDE+AS+HAFRSFJORD+epost,,,,Middels
DIN RØRLEGGER NARVIK AS,NARVIK,923888985,VVS/Rørlegger,13,https://www.google.com/search?q=DIN+RØRLEGGER+NARVIK+AS+NARVIK+epost,,,,Middels
RØRLEGGER 1 KRISTIANSUND AS,KRISTIANSUND N,990514232,VVS/Rørlegger,23,https://www.google.com/search?q=RØRLEGGER+1+KRISTIANSUND+AS+KRISTIANSUND N+epost,,,,Middels
RØRLEGGER 1 MOLDE AS,MOLDE,812573942,VVS/Rørlegger,21,https://www.google.com/search?q=RØRLEGGER+1+MOLDE+AS+MOLDE+epost,,,,Middels
RØRLEGGER GUNNAR LARSEN AS,SANDNES,982845580,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGER+GUNNAR+LARSEN+AS+SANDNES+epost,,,,Middels
RØRLEGGER R NIGARDSØY AS,SVELGEN,974535165,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGER+R+NIGARDSØY+AS+SVELGEN+epost,,,,Middels
RØRLEGGER STRAND & CO AS,NEDRE EGGEDAL,997392825,VVS/Rørlegger,22,https://www.google.com/search?q=RØRLEGGER+STRAND+&+CO+AS+NEDRE EGGEDAL+epost,,,,Middels
RØRLEGGERSENTRALEN AS,FISKARSTRAND,971048557,VVS/Rørlegger,40,https://www.google.com/search?q=RØRLEGGERSENTRALEN+AS+FISKARSTRAND+epost,,,,Middels
RØRLEGGERSENTERET AS,LARVIK,992791284,VVS/Rørlegger,15,https://www.google.com/search?q=RØRLEGGERSENTERET+AS+LARVIK+epost,,,,Middels
RØRLEGGERVAKTA AS,OSLO,813075822,VVS/Rørlegger,15,https://www.google.com/search?q=RØRLEGGERVAKTA+AS+OSLO+epost,,,,Middels
RØRLEGGERHUSET AS,OSLO,819595712,VVS/Rørlegger,32,https://www.google.com/search?q=RØRLEGGERHUSET+AS+OSLO+epost,,,,Middels
RØRLEGGERIET OS AS,OS,977277388,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGERIET+OS+AS+OS+epost,,,,Middels
RØRLEGGERN STENVALL AS,MOSJØEN,975346668,VVS/Rørlegger,13,https://www.google.com/search?q=RØRLEGGERN+STENVALL+AS+MOSJØEN+epost,,,,Middels
RØRLEGGER'N LILLEHAMMER AS,LILLEHAMMER,982071895,VVS/Rørlegger,16,https://www.google.com/search?q=RØRLEGGER'N+LILLEHAMMER+AS+LILLEHAMMER+epost,,,,Middels
RØRLEGGER'N VERDAL AS,VERDAL,933764877,VVS/Rørlegger,33,https://www.google.com/search?q=RØRLEGGER'N+VERDAL+AS+VERDAL+epost,,,,Middels
RØRLEGGERFIRMA HANØY AS,KOLBEINSVIK,986892729,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGERFIRMA+HANØY+AS+KOLBEINSVIK+epost,,,,Middels
BRÆNDES RØRLEGGERFORRETNING AS,VOLDA,833241192,VVS/Rørlegger,21,https://www.google.com/search?q=BRÆNDES+RØRLEGGERFORRETNING+AS+VOLDA+epost,,,,Middels
FOLDVIK RØRLEGGERFORRETNING AS,LILLESAND,883361792,VVS/Rørlegger,15,https://www.google.com/search?q=FOLDVIK+RØRLEGGERFORRETNING+AS+LILLESAND+epost,,,,Middels
NOTODDEN RØRLEGGERFORRETNING AS,NOTODDEN,951819174,VVS/Rørlegger,15,https://www.google.com/search?q=NOTODDEN+RØRLEGGERFORRETNING+AS+NOTODDEN+epost,,,,Middels
PORSGRUNN RØRLEGGERFORRETNING AS,PORSGRUNN,924001216,VVS/Rørlegger,23,https://www.google.com/search?q=PORSGRUNN+RØRLEGGERFORRETNING+AS+PORSGRUNN+epost,,,,Middels
ASKER RØRLEGGERBEDRIFT AS,NESBRU,933296636,VVS/Rørlegger,10,https://www.google.com/search?q=ASKER+RØRLEGGERBEDRIFT+AS+NESBRU+epost,,,,Middels
BÆRUM RØRLEGGERBEDRIFT AS,RUD,910945831,VVS/Rørlegger,58,https://www.google.com/search?q=BÆRUM+RØRLEGGERBEDRIFT+AS+RUD+epost,,,,Middels
HAGET RØRLEGGERBEDRIFT AS,KONGSVINGER,988411434,VVS/Rørlegger,13,https://www.google.com/search?q=HAGET+RØRLEGGERBEDRIFT+AS+KONGSVINGER+epost,,,,Middels
HAMAR RØRLEGGERBEDRIFT AS,HAMAR,919802154,VVS/Rørlegger,15,https://www.google.com/search?q=HAMAR+RØRLEGGERBEDRIFT+AS+HAMAR+epost,,,,Middels
HØNEFOSS RØRLEGGERBEDRIFT AS,HØNEFOSS,950349875,VVS/Rørlegger,12,https://www.google.com/search?q=HØNEFOSS+RØRLEGGERBEDRIFT+AS+HØNEFOSS+epost,,,,Middels
LØRENSKOG RØRLEGGERBEDRIFT AS,LØRENSKOG,935935024,VVS/Rørlegger,25,https://www.google.com/search?q=LØRENSKOG+RØRLEGGERBEDRIFT+AS+LØRENSKOG+epost,,,,Middels
MANGLERUD RØRLEGGERBEDRIFT AS,OSLO,990400970,VVS/Rørlegger,13,https://www.google.com/search?q=MANGLERUD+RØRLEGGERBEDRIFT+AS+OSLO+epost,,,,Middels
TRYSIL RØRLEGGERBEDRIFT AS,TRYSIL,931264745,VVS/Rørlegger,12,https://www.google.com/search?q=TRYSIL+RØRLEGGERBEDRIFT+AS+TRYSIL+epost,,,,Middels
DRØBAK RØRLEGGERSERVICE AS,DRØBAK,845705712,VVS/Rørlegger,30,https://www.google.com/search?q=DRØBAK+RØRLEGGERSERVICE+AS+DRØBAK+epost,,,,Middels
VEST RØRLEGGERSERVICE AS,FLAKTVEIT,927101955,VVS/Rørlegger,15,https://www.google.com/search?q=VEST+RØRLEGGERSERVICE+AS+FLAKTVEIT+epost,,,,Middels
ANDERSEN & SØNN RØRLEGGERFORRETNING AS,KLEPPESTØ,942032846,VVS/Rørlegger,14,https://www.google.com/search?q=ANDERSEN+&+SØNN+RØRLEGGERFORRETNING+AS+KLEPPESTØ+epost,,,,Middels
BÆRUMS VERK RØRLEGGERBEDRIFT AS,STABEKK,995961032,VVS/Rørlegger,38,https://www.google.com/search?q=BÆRUMS+VERK+RØRLEGGERBEDRIFT+AS+STABEKK+epost,,,,Middels
JOHN LIEN RØRLEGGERBEDRIFT AS,RINGEBU,934092090,VVS/Rørlegger,11,https://www.google.com/search?q=JOHN+LIEN+RØRLEGGERBEDRIFT+AS+RINGEBU+epost,,,,Middels
OSLO-AKERSHUS RØRLEGGERBEDRIFT AS,OSLO,994920790,VVS/Rørlegger,68,https://www.google.com/search?q=OSLO-AKERSHUS+RØRLEGGERBEDRIFT+AS+OSLO+epost,,,,Middels
TORE ORVEI AS RØRLEGGERBEDRIFT,OSLO,942194498,VVS/Rørlegger,29,https://www.google.com/search?q=TORE+ORVEI+AS+RØRLEGGERBEDRIFT+OSLO+epost,,,,Middels
JUULS RØRSERVICE AS AUT RØRLEGGERFIRMA,OSLO,943919607,VVS/Rørlegger,14,https://www.google.com/search?q=JUULS+RØRSERVICE+AS+AUT+RØRLEGGERFIRMA+OSLO+epost,,,,Middels
MJELSTAD OG STOKKE RØRLEGGERFORRETNING AS,LONEVÅG,974371855,VVS/Rørlegger,42,https://www.google.com/search?q=MJELSTAD+OG+STOKKE+RØRLEGGERFORRETNING+AS+LONEVÅG+epost,,,,Middels
ARNA & ÅSANE RØRLEGGERSERVICE AS,ESPELAND,989198629,VVS/Rørlegger,59,https://www.google.com/search?q=ARNA+&+ÅSANE+RØRLEGGERSERVICE+AS+ESPELAND+epost,,,,Middels
ARNE NYHEIM RØRLEGGERSERVICE AS,ØSTRE GAUSDAL,879956242,VVS/Rørlegger,11,https://www.google.com/search?q=ARNE+NYHEIM+RØRLEGGERSERVICE+AS+ØSTRE GAUSDAL+epost,,,,Middels
STOR-OSLO RØRLEGGERSERVICE AS,OSLO,933918084,VVS/Rørlegger,10,https://www.google.com/search?q=STOR-OSLO+RØRLEGGERSERVICE+AS+OSLO+epost,,,,Middels
RØRLEGGERMESTER STEINAR AAMODT AS,KRISTIANSAND S,920441238,VVS/Rørlegger,10,https://www.google.com/search?q=RØRLEGGERMESTER+STEINAR+AAMODT+AS+KRISTIANSAND S+epost,,,,Middels
RØRLEGGERMESTER STIG E. NILSEN AS,OS,990024936,VVS/Rørlegger,12,https://www.google.com/search?q=RØRLEGGERMESTER+STIG+E.+NILSEN+AS+OS+epost,,,,Middels
RØRLEGGERMESTER SVEIN OLSEN & SØNNER AS,BEITOSTØLEN,982163706,VVS/Rørlegger,14,https://www.google.com/search?q=RØRLEGGERMESTER+SVEIN+OLSEN+&+SØNNER+AS+BEITOSTØLEN+epost,,,,Middels
ELEKTRO AS,SURNADAL,925215996,Elektriker,24,https://www.google.com/search?q=ELEKTRO+AS+SURNADAL+epost,,,,Middels
DE ELEKTRO AS,OSLO,989119621,Elektriker,59,https://www.google.com/search?q=DE+ELEKTRO+AS+OSLO+epost,,,,Middels
2TAL ELEKTRO AS,LÆRDAL,985233632,Elektriker,12,https://www.google.com/search?q=2TAL+ELEKTRO+AS+LÆRDAL+epost,,,,Middels
ABICON ELEKTRO AS,DRAMMEN,976052560,Elektriker,76,https://www.google.com/search?q=ABICON+ELEKTRO+AS+DRAMMEN+epost,,,,Middels
ABMAS ELEKTRO AS,LØRENSKOG,935246989,Elektriker,54,https://www.google.com/search?q=ABMAS+ELEKTRO+AS+LØRENSKOG+epost,,,,Middels
ABP ELEKTRO AS,FÆRVIK,998583470,Elektriker,23,https://www.google.com/search?q=ABP+ELEKTRO+AS+FÆRVIK+epost,,,,Middels
ACR elektro AS,JAR,939778241,Elektriker,14,https://www.google.com/search?q=ACR+elektro+AS+JAR+epost,,,,Middels
AK1 ELEKTRO AS,OSLO,922021791,Elektriker,18,https://www.google.com/search?q=AK1+ELEKTRO+AS+OSLO+epost,,,,Middels
AKASO ELEKTRO AS,STAVANGER,995785994,Elektriker,24,https://www.google.com/search?q=AKASO+ELEKTRO+AS+STAVANGER+epost,,,,Middels
AKERSHUS ELEKTRO AS,OSLO,976527569,Elektriker,33,https://www.google.com/search?q=AKERSHUS+ELEKTRO+AS+OSLO+epost,,,,Middels
AKSJESELSKAPET ELEKTRO GRUPPEN,OSLO,989373560,Elektriker,23,https://www.google.com/search?q=AKSJESELSKAPET+ELEKTRO+GRUPPEN+OSLO+epost,,,,Middels
AL ELEKTRO AS,OSLO,915078990,Elektriker,18,https://www.google.com/search?q=AL+ELEKTRO+AS+OSLO+epost,,,,Middels
ALFA ELEKTRO AS,ÅLESUND,972410438,Elektriker,26,https://www.google.com/search?q=ALFA+ELEKTRO+AS+ÅLESUND+epost,,,,Middels
ALGRØY ELEKTRO AS,FJELL,991869565,Elektriker,26,https://www.google.com/search?q=ALGRØY+ELEKTRO+AS+FJELL+epost,,,,Middels
ALNA ELEKTRO AS,OSLO,917290970,Elektriker,11,https://www.google.com/search?q=ALNA+ELEKTRO+AS+OSLO+epost,,,,Middels
ALPHA ELEKTRO AS,HAGAN,915767362,Elektriker,40,https://www.google.com/search?q=ALPHA+ELEKTRO+AS+HAGAN+epost,,,,Middels
AMDAL ELEKTRO AS,OVERHALLA,982122996,Elektriker,14,https://www.google.com/search?q=AMDAL+ELEKTRO+AS+OVERHALLA+epost,,,,Middels
ANDREASSEN ELEKTRO AS,DRAMMEN,986873120,Elektriker,14,https://www.google.com/search?q=ANDREASSEN+ELEKTRO+AS+DRAMMEN+epost,,,,Middels
ANGVIK ELEKTRO AS,EIDSVÅG I ROMSDAL,886670362,Elektriker,14,https://www.google.com/search?q=ANGVIK+ELEKTRO+AS+EIDSVÅG I ROMSDAL+epost,,,,Middels
ARCTIC ELEKTRO AS,HONNINGSVÅG,814910652,Elektriker,18,https://www.google.com/search?q=ARCTIC+ELEKTRO+AS+HONNINGSVÅG+epost,,,,Middels
